,ID#,clust,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
74,76,4,123867,0,3,1,1,25308,17,0,0,7759,0
75,78,4,129871,0,3,1,1,15776,22,0,0,7752,0
76,79,4,109380,0,1,1,1,7537,16,0,0,7749,0
77,80,4,111157,0,4,1,1,32883,19,0,0,7771,0
78,81,4,49238,0,4,1,1,38037,18,0,0,7801,1
79,82,4,38896,0,5,1,1,76988,16,556,1,7771,1
80,83,4,4340,0,1,1,1,32685,5,0,0,7733,1
81,84,4,88443,0,1,1,1,1200,3,1200,3,6837,0
82,85,4,8454,0,1,1,1,498,9,0,0,6821,0
83,86,4,61990,0,1,1,1,1625,6,0,0,6833,0
84,87,4,24093,0,1,1,1,1750,7,0,0,6819,0
85,88,4,35418,0,5,1,1,58557,18,900,3,6813,1
86,89,4,40284,0,1,1,1,7719,5,0,0,6827,1
87,90,3,609477,0,3,1,1,21422,22,1200,8,6820,0
88,91,4,62553,0,2,1,1,7672,16,700,1,6819,0
89,92,4,48433,0,1,1,1,3500,4,500,1,6807,1
90,93,4,20508,0,1,1,1,22250,8,1250,5,6794,1
91,94,4,2000,0,1,1,1,2000,4,2000,4,6809,0
92,95,4,78629,0,4,1,1,36679,25,0,0,6817,1
93,96,4,143566,0,1,1,1,5000,5,1500,3,6785,1
94,97,1,185549,0,5,1,1,110859,39,2950,16,6778,1
95,98,4,16796,0,1,1,1,2875,16,0,0,6773,0
96,99,4,57346,0,1,1,1,5560,23,0,0,6766,0
97,100,4,102062,0,4,1,1,44247,16,0,0,6758,0
98,101,4,22324,0,1,1,1,1375,4,0,0,6753,0
99,102,4,64824,0,3,1,1,20184,13,0,0,6770,1
100,103,4,25076,1182,5,1,1,57203,14,0,0,6750,1
101,104,4,8053,0,1,1,1,0,0,0,0,6750,1
102,105,4,35119,0,1,1,1,0,0,0,0,6749,0
103,106,4,28667,0,1,1,1,3861,7,2050,5,6749,1
104,107,4,34327,0,1,1,1,0,0,0,0,6745,0
105,108,4,3734,0,5,1,1,61096,18,150,2,6760,1
106,109,4,96627,1182,1,1,3,49059,26,2300,9,6738,1
107,110,4,43498,0,1,1,1,0,0,0,0,6759,1
108,111,4,84674,0,4,1,1,46335,14,50,1,6738,1
109,112,4,15098,0,4,1,1,32917,26,550,3,6737,1
110,113,1,181019,0,3,1,1,18415,15,0,0,7714,0
111,114,1,298911,0,1,1,1,8550,11,2550,8,7714,1
112,115,4,124198,0,5,1,1,66330,23,4833,10,7710,0
113,116,4,56906,0,1,1,1,2015,13,0,0,7707,1
114,117,1,295638,0,1,1,1,5422,20,818,2,7700,1
115,118,4,67018,0,3,1,1,23260,25,0,0,7698,0
116,119,4,143967,0,2,1,1,7346,11,0,0,7689,0
117,120,0,969559,0,1,1,1,2500,3,1000,2,7718,1
118,121,4,122705,0,3,1,1,24222,15,0,0,7682,1
119,122,4,16583,0,1,1,1,2625,7,0,0,7682,1
120,123,4,77540,0,1,1,1,1000,1,0,0,7683,0
121,124,1,205126,0,5,1,1,126630,45,2250,10,7668,1
122,125,4,81974,0,4,1,1,37266,18,1050,3,7661,1
123,126,4,47258,0,3,1,1,24768,19,0,0,7659,1
124,127,4,77699,0,4,1,1,42775,13,0,0,7654,0
125,128,4,133954,500,4,1,1,37670,18,1500,3,7654,1
126,129,3,602064,0,5,1,1,194753,26,2250,10,7652,1
127,130,1,213150,0,4,1,1,56308,41,5200,14,7645,1
128,131,4,48333,0,2,1,1,10123,14,0,0,6737,1
129,132,4,142175,0,4,1,1,37461,22,0,0,6732,1
130,133,4,17469,0,1,1,1,0,0,0,0,6730,1
131,134,4,19823,0,1,1,1,1095,3,335,1,6730,1
132,135,4,145074,0,1,1,1,8000,4,0,0,6746,1
133,136,4,101101,0,1,1,1,10850,11,1850,6,6725,1
134,137,4,125948,0,3,1,1,15155,15,0,0,6761,1
135,138,1,259484,1776,1,1,1,19172,26,7172,23,6723,1
136,139,4,129298,0,4,1,1,29099,15,0,0,6722,0
137,140,4,103302,0,4,1,1,53552,22,700,3,6718,1
138,141,1,160447,0,1,1,1,8578,25,0,0,6716,1
139,142,4,15472,0,1,1,1,3500,14,0,0,6715,0
140,143,4,39628,0,1,1,1,0,0,0,0,6711,0
141,144,4,6112,0,1,1,1,0,0,0,0,6709,0
142,145,4,31769,0,1,1,1,450,2,450,2,6707,0
143,146,4,126787,0,4,1,1,35021,17,0,0,6701,0
144,147,4,41547,0,3,1,1,16857,17,0,0,6697,0
145,148,4,100640,0,1,1,1,7600,8,1600,5,6708,1
146,149,4,18707,0,1,1,1,100,1,0,0,6693,0
147,150,4,50593,0,5,1,1,58208,17,1500,2,6689,1
148,151,4,84631,0,3,1,1,20415,17,0,0,6736,0
149,152,4,24868,0,1,1,1,205,5,0,0,6689,0
150,153,4,77097,0,4,1,1,42403,22,1718,4,6683,1
151,154,0,930410,0,5,1,1,211284,18,2250,6,7640,1
152,155,1,298121,0,5,1,1,60808,20,500,1,7640,0
153,156,4,87474,0,1,1,1,4581,15,0,0,7634,0
154,157,4,48707,0,4,1,1,37655,14,0,0,7631,1
155,158,1,220081,0,4,1,1,52574,21,500,1,7626,0
156,159,1,212976,0,3,1,1,19926,12,0,0,7624,0
157,160,4,44182,0,3,1,1,12313,12,0,0,7619,1
158,161,1,228829,0,5,1,1,59852,21,0,0,7612,1
159,162,4,46823,0,1,1,1,5860,12,0,0,7613,0
160,163,4,69110,0,3,1,1,18500,19,0,0,7598,0
161,164,4,120700,0,5,1,1,55323,17,1500,1,7598,1
162,165,4,152945,0,1,1,1,18604,6,3604,2,7598,1
163,166,4,10302,0,4,1,1,30298,19,0,0,7591,1
164,167,4,80331,0,3,1,1,15489,18,0,0,7634,1
165,168,4,69882,0,1,1,1,180,6,0,0,7582,0
166,169,4,95658,0,1,1,1,5269,18,0,0,7584,0
167,170,1,402874,0,5,1,1,74800,15,0,0,7582,1
168,171,1,370941,0,4,1,1,44615,16,0,0,7577,1
169,172,4,21694,0,4,1,1,45230,20,700,2,7575,1
170,173,4,71767,0,5,1,1,67335,13,0,0,7570,1
171,174,4,35820,0,1,1,1,0,0,0,0,7575,0
172,175,1,352508,0,3,1,1,23740,6,1000,2,7563,1
173,176,4,149285,0,1,1,1,15656,13,3250,6,7561,1
174,177,4,120941,0,4,1,1,42301,21,0,0,7588,0
175,178,1,451673,0,4,1,1,43533,19,900,4,7575,1
176,179,4,106961,0,1,1,1,7357,19,200,2,7572,1
177,180,4,28086,1745,2,1,1,7368,12,0,0,7549,1
178,181,4,60230,0,1,1,1,500,1,0,0,7544,1
179,182,4,6663,0,1,1,1,1125,7,750,4,7575,1
180,183,4,48145,0,1,1,1,10735,27,0,0,7540,0
181,184,4,127807,0,3,1,1,17086,16,1500,3,7537,1
182,186,4,32948,0,1,1,1,50,1,50,1,7569,0
183,187,4,8933,0,2,1,1,8860,14,0,0,7533,1
184,188,4,49885,0,3,1,1,23640,17,0,0,7533,0
185,189,4,89999,0,3,1,1,11694,13,0,0,7530,0
186,190,3,707079,0,4,1,1,57173,40,3450,12,7523,1
187,191,1,211595,0,1,1,1,3250,8,0,0,7521,0
188,192,1,410795,0,5,1,1,73679,31,0,0,7514,0
189,193,4,72173,0,1,1,1,2954,13,232,1,7509,0
190,194,4,123516,0,5,1,1,240544,31,500,2,7507,1
191,195,4,143080,733,4,1,1,44373,38,3928,17,7575,1
192,196,1,386061,0,5,1,1,107813,24,0,0,7500,1
193,197,4,52738,2398,1,1,1,0,0,0,0,7498,0
194,198,4,24523,0,1,1,1,100,1,0,0,7493,1
195,199,4,134601,0,1,1,1,0,0,0,0,7493,0
196,200,4,32742,0,5,1,1,61857,26,0,0,7488,1
197,201,4,108341,0,3,1,1,19670,21,0,0,7488,0
198,202,4,8669,0,1,3,1,11397,16,0,0,7486,1
199,203,4,118940,0,4,1,1,36001,17,150,1,7484,1
200,204,4,41385,0,4,1,1,26948,14,0,0,7481,1
201,205,4,28621,0,2,1,1,13878,20,1400,10,7479,1
202,206,4,16230,0,1,1,1,486,2,0,0,7477,0
203,207,4,152881,0,5,1,1,79687,18,500,1,7474,1
204,208,4,37348,0,1,1,1,0,0,0,0,7472,0
205,209,4,51468,0,1,1,1,2278,9,0,0,7460,0
206,210,4,95989,0,5,1,1,92159,30,1329,4,7518,1
207,211,4,23184,1250,1,1,1,3694,12,1150,3,7467,1
208,212,4,27381,0,3,1,1,18009,18,0,0,7524,1
209,213,4,6854,0,1,1,1,0,0,0,0,7467,0
210,214,1,201346,0,5,1,1,99612,34,600,4,7463,1
211,215,4,31588,0,1,1,1,2947,8,0,0,7463,0
212,216,1,204582,0,1,1,1,4671,14,0,0,7498,0
213,217,4,8298,0,3,1,1,20087,15,0,0,7498,1
214,218,4,10097,0,1,1,1,2700,1,2700,1,7498,0
215,219,4,114356,0,4,1,1,27308,14,0,0,7456,0
216,220,4,1344,0,1,1,1,1134,9,0,0,7498,0
217,221,4,59797,0,1,1,1,7069,4,0,0,7444,0
218,222,1,189053,0,3,1,1,24156,22,0,0,7439,1
219,223,4,143481,0,4,1,1,45891,15,0,0,7437,0
220,224,0,1302051,2706,5,1,1,90653,32,3050,7,7467,1
221,225,1,229744,0,5,1,1,68754,35,550,2,7467,1
222,226,4,75039,0,1,1,1,2750,10,250,1,7435,1
223,227,4,20203,0,1,1,1,750,6,0,0,7467,0
224,228,1,193976,0,3,1,1,10849,14,0,0,7416,0
225,229,4,98224,0,2,1,1,5570,11,0,0,7467,0
226,230,4,117329,0,1,2,1,6448,11,0,0,7416,1
227,231,4,119239,0,4,1,1,36362,15,250,1,7467,1
228,232,4,53715,0,2,1,1,7164,15,300,2,7416,0
229,233,4,153747,0,5,1,1,58689,15,0,0,7409,0
230,234,4,133309,0,3,1,1,23987,13,0,0,7415,1
231,235,4,81380,0,5,1,1,56524,22,0,0,7404,1
232,236,4,22074,0,1,1,1,6039,15,0,0,7404,0
233,237,4,24051,0,2,1,1,8764,13,0,0,7395,1
234,238,4,11449,0,2,1,1,9057,13,0,0,7397,1
235,239,1,182317,0,2,1,1,19489,17,273,1,7397,1
236,240,4,46184,0,1,1,1,3125,12,500,1,7388,0
237,241,1,285116,0,1,1,1,8471,18,500,1,7406,1
238,242,4,30962,0,5,1,1,97683,37,6400,18,7360,1
239,243,4,15525,0,1,1,1,3853,6,0,0,7406,0
240,244,4,163530,0,5,1,1,88987,25,0,0,7406,0
241,245,4,2075,0,2,1,1,5002,14,0,0,7374,1
242,246,1,227881,0,4,1,1,41186,13,0,0,7369,0
243,247,4,118934,0,5,1,1,66222,37,2250,17,7354,0
244,248,1,468175,0,5,1,1,141615,22,0,0,7348,1
245,249,4,12526,0,4,1,1,56076,19,3850,11,7375,1
246,250,1,176090,0,1,1,1,5300,9,2200,6,7344,0
247,251,4,15221,0,1,1,1,4425,9,0,0,7361,1
248,252,4,92875,0,5,1,1,60990,14,0,0,7344,1
249,253,4,88702,0,2,1,1,9620,13,50,1,7406,0
250,254,4,62882,0,1,1,1,1925,8,0,0,7375,0
251,255,4,30015,0,1,1,1,5875,32,0,0,7341,0
252,256,4,87293,0,3,1,1,21584,17,1050,2,7406,0
253,257,4,45225,0,3,1,1,14711,15,0,0,7339,1
254,258,4,96098,0,1,1,1,12500,4,0,0,7339,1
255,259,1,236274,0,5,1,1,61515,12,0,0,7375,0
256,260,1,423540,0,1,1,1,8534,14,2100,9,7375,0
257,261,4,25279,0,2,1,1,14938,26,0,0,7327,1
258,262,1,198137,0,1,1,1,6303,6,500,1,7323,0
259,263,1,402312,0,5,1,1,77122,18,250,3,7375,1
260,264,4,149733,0,1,1,1,605,3,500,1,7323,0
261,265,4,70730,0,1,1,1,1319,12,0,0,7316,0
262,266,1,164613,0,2,1,1,11095,13,0,0,7375,0
263,267,4,47557,0,2,1,1,10267,18,200,3,7345,0
264,268,4,35065,0,1,1,1,5400,5,1400,3,7311,1
265,269,4,105769,0,3,1,1,23097,16,0,0,7345,1
266,270,4,35900,0,1,1,1,0,0,0,0,7304,0
267,271,4,43088,0,1,1,1,4000,1,0,0,7345,0
268,272,4,58703,0,4,1,1,46473,34,950,4,7296,1
269,273,4,70354,0,5,1,1,120907,22,0,0,7290,1
270,274,4,145726,0,3,1,1,19019,15,0,0,7292,1
271,275,4,121639,0,5,1,1,67286,7,0,0,7288,1
272,276,4,70676,0,5,1,1,74993,15,0,0,7288,1
273,277,4,18263,0,1,1,1,2100,4,1000,2,7285,0
274,278,4,51250,0,1,1,1,0,0,0,0,7283,0
275,279,2,1704838,0,1,1,1,17108,32,4823,23,7283,1
276,280,4,12895,0,1,1,1,0,0,0,0,7277,0
277,281,4,120073,0,3,1,1,12423,29,0,0,7276,1
278,282,4,2003,0,1,1,1,980,2,0,0,7274,0
279,283,4,22652,0,5,1,1,57642,14,0,0,7271,1
280,284,1,168515,0,1,1,1,4600,4,0,0,7269,0
281,285,4,44873,0,4,1,1,38740,18,850,2,7267,1
282,286,1,190542,1745,1,1,1,8487,9,0,0,7267,0
283,287,4,156230,0,1,1,1,5300,8,1300,5,7260,1
284,288,4,79211,0,4,1,1,36776,14,0,0,7260,1
285,289,4,98006,0,4,1,1,46349,20,2309,3,7332,1
286,290,4,33982,0,5,1,1,68320,17,0,0,7255,1
287,291,4,62998,0,2,1,1,11326,24,0,0,7253,0
288,292,4,137908,0,5,1,1,57713,19,0,0,7250,1
289,293,4,45586,0,4,1,1,37459,15,0,0,7246,0
290,294,3,568174,0,5,1,1,67121,16,1000,2,7243,1
291,295,4,145993,0,5,1,1,95082,17,500,1,7229,1
292,296,1,294881,0,5,1,1,84800,20,0,0,7279,1
293,297,4,12195,0,1,1,1,3875,17,0,0,7229,0
294,298,4,16622,0,1,1,1,0,0,0,0,7229,0
295,299,4,141813,0,4,1,1,39743,14,0,0,7254,0
296,300,4,58139,500,4,1,1,38408,16,150,1,7227,1
297,301,1,238868,0,3,1,1,20521,16,0,0,7220,0
298,302,4,149286,0,4,1,1,42141,30,2400,13,7222,1
299,303,4,35945,0,1,1,1,0,0,0,0,7220,0
300,304,4,28218,0,1,1,1,750,4,750,4,7232,1
301,305,4,7061,0,1,1,1,7100,12,0,0,7218,0
302,306,1,217846,0,4,1,1,49198,20,0,0,7215,1
303,307,1,364387,0,4,1,1,28200,27,0,0,7213,0
304,308,4,125465,0,3,1,1,14750,9,0,0,7206,0
305,309,4,94222,0,4,1,1,52081,24,0,0,7201,1
306,310,4,123370,0,1,1,1,7478,16,0,0,7197,0
307,311,1,383030,2998,1,1,1,8001,25,3226,15,7326,1
308,312,4,112969,0,2,1,1,7572,7,0,0,7192,0
309,313,4,46430,0,1,1,1,2100,4,500,1,7194,0
310,314,1,179433,0,4,1,1,30476,15,0,0,7187,0
311,315,4,20746,0,4,1,1,37534,17,0,0,7185,1
312,316,4,61455,0,4,1,1,28765,17,0,0,7183,1
313,317,3,714717,0,5,1,1,119162,20,1750,4,7183,1
314,318,1,179559,0,3,1,1,17819,12,1000,2,7173,1
315,319,4,119977,2556,1,1,1,9275,16,1400,4,7226,1
316,320,4,16928,0,1,1,1,1000,1,0,0,7173,0
317,321,4,65316,0,1,1,1,3917,10,0,0,7254,0
318,322,3,766419,0,1,1,1,11398,3,398,1,7162,1
319,323,4,52060,0,1,1,1,6500,3,0,0,7162,1
320,324,4,84700,0,3,1,1,13544,17,0,0,7162,0
321,325,1,205523,0,3,1,1,32404,20,1000,2,7159,1
322,326,4,20457,0,4,1,1,51399,16,0,0,7193,1
323,327,1,278727,0,1,1,1,21666,19,9166,16,7155,1
324,328,4,50325,0,3,1,1,11930,14,0,0,7155,0
325,329,1,455228,0,1,1,1,258,2,258,2,7141,1
326,330,4,73849,0,2,1,1,11793,21,0,0,7250,0
327,331,1,388455,0,5,1,1,114329,26,6078,8,7164,1
328,332,4,138999,0,5,1,1,63738,29,600,4,7153,1
329,333,4,65573,0,1,1,1,3875,23,0,0,7130,0
330,334,4,172288,0,5,1,1,66879,10,0,0,7130,1
331,335,4,47958,0,1,1,1,0,0,0,0,7130,0
332,337,4,133002,0,3,1,1,15672,21,150,1,7117,0
333,338,4,42363,0,1,1,1,0,0,0,0,7120,1
334,339,4,133370,0,4,1,1,44299,18,0,0,7101,1
335,340,1,278457,6727,4,1,1,57313,27,1000,2,7101,1
336,341,4,105166,1374,4,1,1,37663,22,0,0,7120,0
337,342,4,34956,0,1,1,1,0,0,0,0,7172,0
338,343,4,46963,0,1,1,1,1500,5,0,0,7117,0
339,344,4,55788,0,3,1,1,24831,12,0,0,7314,0
340,345,4,174910,0,4,1,1,63960,20,200,1,7110,1
341,346,4,13812,0,2,1,1,15149,39,0,0,7110,1
342,347,4,38718,0,1,1,1,0,0,0,0,7314,0
343,348,4,112501,0,1,1,2,19140,11,0,0,7101,0
344,349,4,54005,0,1,1,1,1500,5,0,0,7099,0
345,350,4,66863,0,4,1,1,36532,9,0,0,7099,1
346,351,4,93045,0,3,1,1,17636,15,0,0,7092,0
347,352,1,197328,0,5,1,1,60447,12,0,0,7092,0
348,353,4,151301,0,4,1,1,37772,14,0,0,7092,0
349,354,4,87938,0,1,1,1,11268,2,0,0,7085,1
350,355,4,15283,0,1,1,1,1250,3,0,0,7132,0
351,356,4,105423,0,3,1,1,20802,14,0,0,7078,0
352,357,1,312512,0,1,1,1,100,1,100,1,7078,0
353,358,4,13680,0,1,1,1,0,0,0,0,7073,1
354,359,4,41279,0,3,1,1,14462,20,1650,6,7064,0
355,360,4,25313,0,2,1,1,7491,13,0,0,7064,0
356,361,4,148691,0,1,1,1,3000,3,1000,2,7064,0
357,362,1,224081,0,4,1,1,40108,15,150,2,7059,0
358,363,4,51088,0,1,1,1,0,0,0,0,7057,0
359,364,4,95305,0,1,1,1,3189,13,0,0,7054,0
360,365,4,22080,0,1,1,1,12200,47,1950,9,7050,1
361,366,4,11660,0,1,1,1,140,1,0,0,7050,0
362,367,1,222227,0,4,1,1,38127,14,500,1,7047,1
363,368,4,16200,0,1,1,1,160,1,0,0,7043,0
364,369,4,38227,0,2,1,1,8612,13,0,0,7036,0
365,370,4,80214,0,1,1,1,500,1,500,1,7029,1
366,371,4,53985,0,1,1,1,1000,1,0,0,7029,1
367,372,4,14414,0,1,1,1,0,0,0,0,7024,0
368,373,4,44457,0,1,1,1,225,3,0,0,7026,0
369,374,4,161813,0,5,1,1,126941,20,0,0,7026,1
370,375,4,138020,0,1,1,1,6568,15,0,0,7024,1
371,376,4,107707,0,3,1,1,19407,25,2211,12,7024,0
372,377,4,95656,0,5,1,1,62666,27,0,0,7019,1
373,378,4,149678,0,1,1,1,0,0,0,0,7022,0
374,379,4,15113,0,2,1,1,10574,19,0,0,7017,1
375,380,4,231,0,1,1,1,29900,24,5300,15,7015,1
376,381,4,22380,0,1,1,1,300,2,200,1,7010,0
377,382,4,146263,0,3,1,1,20853,21,350,1,7001,1
378,383,4,24598,0,1,1,1,0,0,0,0,7040,0
379,384,4,76150,0,4,1,1,36907,17,0,0,6998,0
380,385,1,377252,0,5,1,1,230629,30,6393,13,6996,1
381,386,1,167670,0,1,3,1,15907,13,0,0,6994,0
382,387,4,86853,0,4,1,1,42293,21,500,1,6980,0
383,388,3,479989,0,4,1,1,66516,26,1600,6,6980,0
384,389,4,28193,0,5,1,4,103456,32,0,0,6980,1
385,390,4,67086,0,3,1,1,18157,16,0,0,6974,0
386,391,4,35969,0,2,1,1,11665,21,0,0,6977,0
387,393,4,53790,0,4,1,1,28717,19,0,0,8296,1
388,394,1,198859,0,3,1,1,17855,14,500,1,8296,0
389,395,4,91939,0,1,1,1,1244,8,0,0,8296,0
390,396,4,88449,0,2,1,1,11402,18,1450,5,8296,0
391,397,4,54842,0,3,1,1,20792,15,0,0,8296,1
392,398,4,11189,0,1,2,1,9044,20,0,0,8296,1
393,399,4,16999,0,1,1,1,140,1,0,0,8296,0
394,400,4,114713,0,1,1,1,7142,18,0,0,8296,0
395,401,4,1612,0,1,1,1,955,9,0,0,8296,0
396,402,4,97763,0,1,1,1,2000,9,0,0,8296,0
397,403,4,15129,0,1,1,1,0,0,0,0,8296,0
398,404,4,15669,0,1,1,1,1205,4,0,0,8296,0
399,405,4,26720,0,1,1,1,913,3,0,0,8296,0
400,406,1,205292,0,2,1,1,5471,13,0,0,8296,0
401,407,4,56635,0,1,1,1,1024,8,359,2,8296,0
402,408,4,127297,0,2,1,1,8510,12,0,0,8296,0
403,409,4,8927,0,1,1,1,0,0,0,0,8296,0
404,410,3,507506,1952,5,1,1,102279,32,4485,13,8296,1
405,411,4,145723,0,5,1,1,59858,16,0,0,8296,1
406,412,4,6458,0,1,1,1,0,0,0,0,8296,0
407,413,1,267640,0,1,1,1,6000,3,0,0,8296,1
408,414,4,5581,0,1,1,1,0,0,0,0,8296,0
409,415,4,10732,0,1,1,1,1296,6,0,0,8296,0
410,416,3,620498,0,5,1,1,25395,53,1750,14,8296,1
411,417,4,68963,0,4,1,1,37723,15,0,0,8296,0
412,418,4,109640,0,4,1,1,66983,38,5500,17,8296,1
413,419,1,225802,0,5,1,1,74340,16,200,2,8296,1
414,420,4,58452,0,1,1,1,0,0,0,0,8296,0
415,421,4,109087,0,2,1,1,10462,16,0,0,8296,1
416,422,4,68286,0,3,1,1,22831,13,0,0,8296,1
417,423,4,68464,0,1,1,1,240,3,0,0,8296,1
418,424,4,131960,2000,3,1,1,16081,8,0,0,8296,0
419,425,1,199956,1178,1,1,1,0,0,0,0,8296,0
420,426,3,529886,7210,1,1,1,23866,26,7741,15,8296,1
421,427,4,23529,0,1,1,1,500,1,0,0,8296,0
422,428,1,190295,0,4,1,1,3501,15,0,0,8296,0
423,429,4,21083,0,5,1,1,129330,16,1000,2,8296,1
424,430,4,117860,0,5,1,1,62758,15,0,0,8296,1
425,431,4,118844,0,4,1,1,28731,17,400,2,8289,1
426,432,4,60493,0,1,1,1,9000,1,0,0,8289,0
427,433,3,491987,0,5,1,1,68007,23,700,2,8289,1
428,434,4,87692,0,1,1,1,2310,6,500,1,8289,0
429,435,4,78028,0,4,1,1,36269,24,0,0,8289,0
430,436,1,251286,0,1,1,1,0,0,0,0,8289,1
431,437,4,17575,0,1,1,1,0,0,0,0,8289,1
432,438,4,50431,0,1,1,1,1000,1,0,0,8289,1
433,439,4,153597,0,5,1,1,56567,18,0,0,8289,0
434,440,4,74579,0,1,1,1,4600,11,600,8,8289,1
435,441,4,2494,0,1,1,1,0,0,0,0,8289,0
436,442,4,96031,0,4,1,1,46588,21,0,0,8289,0
437,443,1,353678,0,4,1,1,141230,28,1450,5,8289,1
438,444,4,50052,0,4,1,1,49383,13,0,0,8289,1
439,445,4,13381,0,1,1,1,1000,8,0,0,8289,0
440,446,4,25123,0,1,1,1,2030,6,0,0,8289,0
441,447,4,132555,0,3,1,1,24775,31,350,1,8289,1
442,448,4,14528,0,1,1,1,6000,7,3000,6,8289,0
443,449,4,24038,0,2,1,1,6290,14,0,0,8289,0
444,450,1,192104,0,3,1,1,39010,53,1750,8,8289,1
